year,immig_status,age,total_pop,medicaid,medicaid_rate
2010,Legal noncitizen,0,9574,5573,0.582097346981408
2010,Legal noncitizen,1,22777,11319,0.49694867629626377
2010,Legal noncitizen,2,26137,12280,0.469832038872097
2010,Legal noncitizen,3,30347,16617,0.5475664810360168
2010,Legal noncitizen,4,38166,20031,0.5248388618141802
2010,Legal noncitizen,5,39498,22398,0.5670666869208567
2010,Legal noncitizen,6,41966,25896,0.61707096220750135
2010,Legal noncitizen,7,51271,30828,0.601275574886388
2010,Legal noncitizen,8,58805,36019,0.6125159425218945
2010,Legal noncitizen,9,65676,44918,0.6839332480662647
2010,Legal noncitizen,10,71151,43272,0.6081713538811823
2010,Legal noncitizen,11,74348,49801,0.6698364448270296
2010,Legal noncitizen,12,83966,53255,0.634244813376843
2010,Legal noncitizen,13,80346,48840,0.6078709581061907
2010,Legal noncitizen,14,97736,61037,0.6245088810673651
2010,Legal noncitizen,15,91677,54545,0.5949692943704528
2010,Legal noncitizen,16,99261,59760,0.6020491431680116
2010,Legal noncitizen,17,92222,55061,0.5970484266227147
2010,Legal noncitizen,18,99148,56707,0.5719429539678057
2010,Legal noncitizen,19,92528,36594,0.3954910945875843
2010,Legal noncitizen,20,107231,33824,0.31543117195587095
2010,Legal noncitizen,21,117271,33025,0.28161267491536696
2010,Legal noncitizen,22,126776,33142,0.26142172019940685
2010,Legal noncitizen,23,136715,35716,0.2612441941264675
2010,Legal noncitizen,24,150021,36871,0.2457722585504696
2010,Legal noncitizen,25,175687,41558,0.23654567497879753
2010,Legal noncitizen,26,195140,43215,0.22145639028389874
2010,Legal noncitizen,27,219192,41161,0.18778513814372788
2010,Legal noncitizen,28,215774,48984,0.22701530304856007
2010,Legal noncitizen,29,238230,44043,0.1848759602065231
2010,Legal noncitizen,30,274968,52010,0.1891492828256379
2010,Legal noncitizen,31,249140,46788,0.1877980252067111
2010,Legal noncitizen,32,268575,55374,0.20617704551801172
2010,Legal noncitizen,33,258628,44867,0.17348082960854974
2010,Legal noncitizen,34,270727,52350,0.1933682270331367
2010,Legal noncitizen,35,283627,54882,0.19350061877042735
2010,Legal noncitizen,36,268691,49420,0.18392875086995844
2010,Legal noncitizen,37,266745,48139,0.1804682374552475
2010,Legal noncitizen,38,255011,48923,0.1918466262239668
2010,Legal noncitizen,39,245864,49807,0.20257947483161423
2010,Legal noncitizen,40,270432,54899,0.2030048219145663
2010,Legal noncitizen,41,225322,40621,0.1802797773852531
2010,Legal noncitizen,42,240383,44818,0.18644413290457312
2010,Legal noncitizen,43,205985,38261,0.1857465349418647
2010,Legal noncitizen,44,204254,42562,0.20837780410665152
2010,Legal noncitizen,45,224465,43987,0.19596373599447575
2010,Legal noncitizen,46,212667,40096,0.18853888943747737
2010,Legal noncitizen,47,196617,38654,0.1965954113835528
2010,Legal noncitizen,48,179061,33973,0.1897286399606838
2010,Legal noncitizen,49,182729,36912,0.2020040606581331
2010,Legal noncitizen,50,187822,35975,0.19153773253399495
2010,Legal noncitizen,51,160630,32861,0.20457573305111124
2010,Legal noncitizen,52,158141,32903,0.20806116060983554
2010,Legal noncitizen,53,156086,31383,0.20106223492177389
2010,Legal noncitizen,54,154047,28553,0.18535252228216065
2010,Legal noncitizen,55,152553,34165,0.22395495336047144
2010,Legal noncitizen,56,124995,25305,0.20244809792391696
2010,Legal noncitizen,57,120937,28118,0.23250121964328535
2010,Legal noncitizen,58,112254,25166,0.2241880022092754
2010,Legal noncitizen,59,106648,24847,0.23298139674443027
2010,Legal noncitizen,60,111126,26592,0.2392959343447978
2010,Legal noncitizen,61,93592,24159,0.2581310368407556
2010,Legal noncitizen,62,102691,26266,0.2557770398574364
2010,Legal noncitizen,63,91086,26328,0.28904551742309464
2010,Legal noncitizen,64,85006,19941,0.23458344116885868
2010,Legal noncitizen,65,88279,27583,0.31245256516272274
2010,Legal noncitizen,66,78579,27368,0.3482864378523524
2010,Legal noncitizen,67,76412,27086,0.354473119405329
2010,Legal noncitizen,68,73129,24249,0.33159211803798766
2010,Legal noncitizen,69,68214,28712,0.42091066350016126
2010,Legal noncitizen,70,70417,26068,0.37019469730320803
2010,Legal noncitizen,71,61290,25370,0.41393375754609235
2010,Legal noncitizen,72,54455,25421,0.4668258194839776
2010,Legal noncitizen,73,59389,22965,0.38668777046254355
2010,Legal noncitizen,74,50392,23594,0.4682092395618352
2010,Legal noncitizen,75,45214,21835,0.4829256425001106
2010,Legal noncitizen,76,42573,20879,0.4904282056702605
2010,Legal noncitizen,77,39433,20465,0.5189815636649506
2010,Legal noncitizen,78,33495,16819,0.5021346469622332
2010,Legal noncitizen,79,33497,15126,0.4515628265217781
2010,Legal noncitizen,80,32418,15400,0.47504472823739896
2010,Legal noncitizen,81,27585,13726,0.49758926953054194
2010,Legal noncitizen,82,26388,13812,0.5234197362437472
2010,Legal noncitizen,83,23299,12252,0.5258594789475943
2010,Legal noncitizen,84,19450,8637,0.4440616966580977
2010,Legal noncitizen,85,16332,9047,0.5539431790350232
2010,Legal noncitizen,86,17428,8336,0.4783107642873537
2010,Legal noncitizen,87,15572,6681,0.42903930131004364
2010,Legal noncitizen,88,10529,6294,0.5977775667204863
2010,Legal noncitizen,89,6364,3904,0.6134506599622879
2010,Legal noncitizen,90,4459,2113,0.4738730657098004
2010,Legal noncitizen,91,216,65,0.30092592592592593
2010,Legal noncitizen,92,6481,3758,0.5798487887671656
2010,Legal noncitizen,93,14857,10946,0.7367570842027327
2010,Legal noncitizen,94,10198,4794,0.470092174936262
2010,Legal noncitizen,95,466,229,0.49141630901287553
2010,Native-born,0,3680177,1700521,0.46207587298110936
2010,Native-born,1,3949674,1753125,0.4438657468945538
2010,Native-born,2,4113955,1789298,0.4349337802674069
2010,Native-born,3,4095606,1730155,0.4224417583136659
2010,Native-born,4,3993881,1639769,0.4105703199469388
2010,Native-born,5,4016756,1593219,0.3966432115866635
2010,Native-born,6,3938743,1466987,0.372450550848329
2010,Native-born,7,3953546,1462682,0.3699671130676107
2010,Native-born,8,3923262,1386100,0.35330294025736747
2010,Native-born,9,3968486,1391223,0.3505676976055856
2010,Native-born,10,4001974,1334682,0.33350591483103087
2010,Native-born,11,3904422,1284910,0.32909096404026
2010,Native-born,12,3968476,1225145,0.3087192665395986
2010,Native-born,13,3900827,1186389,0.30413781487874236
2010,Native-born,14,3911825,1152500,0.29461951902245115
2010,Native-born,15,3944653,1112158,0.2819406421806937
2010,Native-born,16,4026073,1128526,0.2803044058068495
2010,Native-born,17,4012035,1087065,0.270951026100221
2010,Native-born,18,4342060,978009,0.225240784328176
