immig_status,age,total_pop,medicaid,medicaid_rate
Legal noncitizen,0,14701,10211,0.6945786000952316
Legal noncitizen,1,20287,11356,0.5597673386898013
Legal noncitizen,2,29919,18398,0.6149269694842742
Legal noncitizen,3,47770,30244,0.6331170190496127
Legal noncitizen,4,49628,32871,0.6623478681389539
Legal noncitizen,5,53196,35827,0.673490488006617
Legal noncitizen,6,53858,30825,0.5723383712726058
Legal noncitizen,7,71361,45897,0.6431664354479337
Legal noncitizen,8,71105,45150,0.6349764432880951
Legal noncitizen,9,72776,44987,0.6181570847532153
Legal noncitizen,10,76304,50204,0.6579471587334871
Legal noncitizen,11,82874,49493,0.5972078094456645
Legal noncitizen,12,89109,53450,0.5998271779505998
Legal noncitizen,13,82390,52356,0.635465469110329
Legal noncitizen,14,74588,39522,0.5298707566900842
Legal noncitizen,15,73440,42367,0.5768927015250545
Legal noncitizen,16,84392,52208,0.6186368376149398
Legal noncitizen,17,70240,42465,0.6045700455580866
Legal noncitizen,18,72604,42362,0.5834664756762713
Legal noncitizen,19,72625,35988,0.49553184165232356
Legal noncitizen,20,87658,39829,0.45436811243697095
Legal noncitizen,21,85037,37185,0.43728024271787574
Legal noncitizen,22,101018,39030,0.3863667861173256
Legal noncitizen,23,113265,40932,0.36138259833134684
Legal noncitizen,24,136706,41945,0.30682632803241994
Legal noncitizen,25,155670,44922,0.28857197918674116
Legal noncitizen,26,174044,47068,0.2704373606674174
Legal noncitizen,27,209573,54017,0.25774789691420175
Legal noncitizen,28,207210,50599,0.24419188263114713
Legal noncitizen,29,237754,49642,0.20879564591973215
Legal noncitizen,30,264920,54380,0.20526951532538124
Legal noncitizen,31,266557,58395,0.2190713430898457
Legal noncitizen,32,279420,60746,0.2174003292534536
Legal noncitizen,33,278414,65358,0.2347511260209616
Legal noncitizen,34,299177,67331,0.22505406498494201
Legal noncitizen,35,313629,71442,0.22779143510325894
Legal noncitizen,36,300375,69984,0.2329887640449438
Legal noncitizen,37,287319,62609,0.21790762184192483
Legal noncitizen,38,302251,65877,0.2179546138805165
Legal noncitizen,39,288425,62477,0.21661437115367946
Legal noncitizen,40,292354,67006,0.22919474335907838
Legal noncitizen,41,265852,65163,0.2451100612370793
Legal noncitizen,42,262408,64480,0.24572421572513034
Legal noncitizen,43,256045,64206,0.25076060848678944
Legal noncitizen,44,245493,63814,0.25994223867890326
Legal noncitizen,45,229583,58089,0.25301960511013444
Legal noncitizen,46,213459,49927,0.23389503370670714
Legal noncitizen,47,218570,56967,0.2606350368303061
Legal noncitizen,48,206826,47929,0.23173585525997697
Legal noncitizen,49,210387,52025,0.2472823891210008
Legal noncitizen,50,214433,57915,0.2700843620151749
Legal noncitizen,51,188093,50073,0.26621405368620843
Legal noncitizen,52,175708,49312,0.2806474377945227
Legal noncitizen,53,174445,50025,0.2867666026541317
Legal noncitizen,54,160229,46063,0.28748229097104766
Legal noncitizen,55,163324,50442,0.30884621978398763
Legal noncitizen,56,152652,47088,0.30846631554123105
Legal noncitizen,57,142347,38350,0.269412070503769
Legal noncitizen,58,148560,45204,0.304281098546042
Legal noncitizen,59,148286,44068,0.2971824717100738
Legal noncitizen,60,149876,49458,0.32999279404307563
Legal noncitizen,61,140411,46607,0.3319326833367756
Legal noncitizen,62,132067,43047,0.32594819296266286
Legal noncitizen,63,133602,42150,0.3154892890824988
Legal noncitizen,64,129701,44263,0.3412695353158418
Legal noncitizen,65,134519,46911,0.3487314059723905
Legal noncitizen,66,128895,47950,0.37200822374801196
Legal noncitizen,67,120658,45607,0.37798571168094947
Legal noncitizen,68,128298,43116,0.33606135715287844
Legal noncitizen,69,120191,43656,0.36322187185396576
Legal noncitizen,70,110220,41599,0.3774178914897478
Legal noncitizen,71,88158,32331,0.36673926359490916
Legal noncitizen,72,91640,34104,0.3721518987341772
Legal noncitizen,73,81102,29157,0.35951024635644
Legal noncitizen,74,76104,30885,0.40582623777988014
Legal noncitizen,75,78525,32696,0.4163769500159185
Legal noncitizen,76,57559,20598,0.35785889261453463
Legal noncitizen,77,61178,21598,0.35303540488410867
Legal noncitizen,78,53065,21208,0.39966079336662585
Legal noncitizen,79,48077,21207,0.44110489423216925
Legal noncitizen,80,41799,17998,0.43058446374315174
Legal noncitizen,81,42072,17989,0.42757653546301577
Legal noncitizen,82,36670,15811,0.4311698936460322
Legal noncitizen,83,30005,10686,0.356140643226129
Legal noncitizen,84,25116,10774,0.4289695811434942
Legal noncitizen,85,24114,10866,0.4506096043791988
Legal noncitizen,86,16504,6957,0.4215341735336888
Legal noncitizen,87,14811,6173,0.4167848220916886
Legal noncitizen,88,15273,8295,0.543115301512473
Legal noncitizen,89,11165,5586,0.5003134796238244
Legal noncitizen,90,12365,5257,0.4251516376870198
Legal noncitizen,91,2230,1008,0.45201793721973094
Legal noncitizen,92,8886,3530,0.3972541075849651
Legal noncitizen,93,3349,1880,0.5613616004777545
Legal noncitizen,94,16057,7156,0.4456623279566544
Legal noncitizen,95,11794,6044,0.5124639647278277
Legal noncitizen,96,272,0,0
Native-born,0,3410093,1364148,0.4000324917824822
Native-born,1,3496222,1361247,0.38934798762778794
Native-born,2,3625312,1454177,0.40111775207209754
Native-born,3,3651553,1482095,0.40588073074661657
Native-born,4,3722398,1494536,0.40149817402652804
Native-born,5,3634308,1420453,0.39084551997244044
Native-born,6,3704754,1471656,0.39723447224835984
Native-born,7,3814036,1470679,0.3855965177046048
Native-born,8,3884897,1505003,0.3873984303830964
Native-born,9,3955404,1519742,0.38421915940824247
Native-born,10,4027630,1547565,0.38423713201063653
Native-born,11,3985678,1492361,0.3744308998368659
Native-born,12,4027698,1485897,0.36891966577434554
Native-born,13,4048201,1468329,0.3627114859168307
Native-born,14,4134631,1504426,0.36385979788764705
Native-born,15,4092298,1468070,0.3587397594212347
Native-born,16,4268073,1461426,0.3424088575804584
Native-born,17,4210269,1432842,0.340320772853231
Native-born,18,4261170,1229037,0.2884271221284295
Native-born,19,4091508,864511,0.21129397767277983
Native-born,20,4042389,783514,0.19382449338744984
Native-born,21,3951330,713274,0.1805149152310741
Native-born,22,3937981,718279,0.1823977820106293
Native-born,23,4024604,672664,0.1671379345644938
Native-born,24,4090092,672130,0.16433126687614852
Native-born,25,3841148,609901,0.1587809165384932
Native-born,26,3822270,659442,0.17252627365413747
Native-born,27,3815140,664324,0.17412834129284901
Native-born,28,3773337,654432,0.17343587386973386
Native-born,29,3767358,649305,0.17235022527723673
Native-born,30,3911382,680349,0.17394082193966226
Native-born,31,3835801,656036,0.17102972755885928
Native-born,32,3979507,694398,0.17449347368907756
Native-born,33,4000197,701869,0.1754586086635233
Native-born,34,4004014,664600,0.16598343562235296
Native-born,35,3846290,626542,0.1628951535115657
Native-born,36,3712209,605220,0.16303500153143316
Native-born,37,3642829,581371,0.15959327215194563
Native-born,38,3660153,565990,0.15463561222713915
Native-born,39,3564903,558843,0.15676247011489514
Native-born,40,3651721,551298,0.1509693648556393
Native-born,41,3455970,508688,0.14719109251527068
Native-born,42,3537487,506904,0.14329494355738975
Native-born,43,3501944,514293,0.1468592872987118
Native-born,44,3453278,486264,0.14081229486881738
Native-born,45,3206320,456796,0.14246737693056213
Native-born,46,3111362,436491,0.14028936523618918
Native-born,47,3083284,407549,0.13218016893675705
Native-born,48,3002094,396810,0.1321777399375236
Native-born,49,3022697,377173,0.124780287273253
Native-born,50,2937912,355209,0.12090525516080808
Native-born,51,2934803,374107,0.12747261059771303
Native-born,52,3121509,402132,0.12882615427346197
Native-born,53,3338459,417735,0.12512809053518406
Native-born,54,3347379,434541,0.1298152972818435
Native-born,55,3098324,404154,0.1304427813230637
Native-born,56,3000718,411359,0.1370868572121739
Native-born,57,3117219,416959,0.13375993152871196
Native-born,58,3181894,456993,0.14362294909887005
Native-born,59,3371063,491108,0.1456834238932942
Native-born,60,3582506,552620,0.15425514988669942
Native-born,61,3507528,528721,0.15073892496367813
Native-born,62,3612644,555214,0.15368633056564665
Native-born,63,3611980,569222,0.1575927884429039
Native-born,64,3630937,554094,0.15260358414370725
Native-born,65,3407753,484816,0.14226852709101862
Native-born,66,3363980,462695,0.13754392118859207
Native-born,67,3285503,442567,0.13470296633422646
Native-born,68,3176767,417610,0.13145754787807856
Native-born,69,3123826,404389,0.12945311294547135
Native-born,70,3044660,386439,0.12692353169155177
Native-born,71,2894607,358681,0.12391353990368986
Native-born,72,2826870,346472,0.1225638250078709
Native-born,73,2652831,336077,0.1266861703591371
Native-born,74,2515491,317362,0.126163043318382
Native-born,75,2360659,290683,0.12313637844347701
Native-born,76,2328480,278105,0.11943628461485604
Native-born,77,2265141,277457,0.1224899465419592
Native-born,78,1709919,215057,0.1257702850251971
Native-born,79,1566090,200720,0.12816632505156153
Native-born,80,1516756,211397,0.13937442805566616
Native-born,81,1489893,190275,0.12771051343955572
Native-born,82,1249353,178559,0.14292117600069795
Native-born,83,1079632,158192,0.14652400077063296
Native-born,84,941490,142294,0.15113702747772148
Native-born,85,856275,134664,0.15726723307348692
Native-born,86,760146,116663,0.15347446411610402
Native-born,87,661704,108243,0.163582205941025
Native-born,88,575845,93066,0.16161640719290782
Native-born,89,443515,81826,0.18449432375455171
Native-born,90,290041,55136,0.19009726211121875
Native-born,91,104425,19043,0.18236054584630118
Native-born,92,232753,43097,0.1851619527997491
Native-born,93,355759,74236,0.20866935200514955
Native-born,94,651429,121521,0.18654527200968946
Native-born,95,400354,84813,0.21184501715981358
Native-born,96,11211,2664,0.2376237623762376
Naturalized citizen,0,9003,3228,0.3585471509496834
Naturalized citizen,1,7656,3755,0.4904649947753396
Naturalized citizen,2,11388,4669,0.4099929750614682
Naturalized citizen,3,12690,3384,0.26666666666666666
Naturalized citizen,4,11731,4803,0.40942801125223766
Naturalized citizen,5,15185,9275,0.6108001317089233
Naturalized citizen,6,15839,9509,0.6003535576740956
Naturalized citizen,7,25886,10613,0.409989955960751
Naturalized citizen,8,31776,15658,0.4927618328298087
Naturalized citizen,9,31544,15257,0.4836735987826528
Naturalized citizen,10,33634,13946,0.4146399476719986
Naturalized citizen,11,50417,25756,0.5108594323343316
Naturalized citizen,12,51597,21922,0.4248696629649011
Naturalized citizen,13,62877,26756,0.42552920781843917
Naturalized citizen,14,67938,27105,0.3989667049368542
Naturalized citizen,15,75624,31925,0.4221543425367608
Naturalized citizen,16,86769,31246,0.3601055676566516
Naturalized citizen,17,90724,34235,0.377353291301089
Naturalized citizen,18,105559,36231,0.34322985249955
Naturalized citizen,19,114923,29224,0.25429200421151554
Naturalized citizen,20,109872,27405,0.24942660550458715
Naturalized citizen,21,118927,30907,0.25988211255644217
