year,immig_status,n,population
2010,Legal immigrant,6160,8844333.33
2010,Native-born,183544,265735311.1
2010,Naturalized citizen,10917,16461708.56
2010,Undocumented,9181,14141127.964761278
2011,Legal immigrant,5874,8658766.24
2011,Native-born,178789,267121429.23
2011,Naturalized citizen,11338,17347741.73
2011,Undocumented,8982,14313427.450623654
2012,Legal immigrant,5940,8829494.27
2012,Native-born,175225,268851201.46999997
2012,Naturalized citizen,11527,17934074.46
2012,Undocumented,8706,14076591.531656707
2013,Legal immigrant,5842,8575749.41
2013,Native-born,176427,271009620.95
2013,Naturalized citizen,11644,18200318.32
2013,Undocumented,8721,14185442.684811762
2014,Legal immigrant,1558,9121076.65
2014,Native-born,53128,272770091.24
2014,Naturalized citizen,3349,19246964.51
2014,Undocumented,2106,13084608.647766344
2015,Legal immigrant,6332,9922210.42
2015,Native-born,172868,273983978.61
2015,Naturalized citizen,11936,19732639.34
2015,Undocumented,7888,13326998.006625926
2016,Legal immigrant,5933,10161623.13
2016,Native-born,161208,275798078.19
2016,Naturalized citizen,11059,20086005.86
2016,Undocumented,7287,13648385.038156338
2017,Legal immigrant,6034,10234812.06
2017,Native-born,160844,276518032.9
2017,Naturalized citizen,11411,20409166.6
2017,Undocumented,7625,14064573.142556004
2018,Legal immigrant,5833,10318236.93
2018,Native-born,155355,277747775.93
2018,Naturalized citizen,11693,21854002.23
2018,Undocumented,7203,14071840.127601821
2019,Legal immigrant,5954,10604795.43
2019,Native-born,155345,278535686.15
2019,Naturalized citizen,11772,22296431.99
2019,Undocumented,7030,13744851.950161178
2020,Legal immigrant,4576,9496837.8428
2020,Native-born,137089,282381732.1484
2020,Naturalized citizen,10547,22859804.8961
2020,Undocumented,5747,13684387.833548097
2021,Legal immigrant,4789,9580497.4827
2021,Native-born,141866,282885298.0544
2021,Naturalized citizen,10770,22803487.0062
2021,Undocumented,6118,13568639.653236346
2022,Legal immigrant,4463,9612730.68
2022,Native-born,131661,281866097.52
2022,Naturalized citizen,10234,22877140.41
2022,Undocumented,6374,15254700.929257108
2023,Legal immigrant,4539,10148532.58
2023,Native-born,124976,281854028.1
2023,Naturalized citizen,10311,23934628.78
2023,Undocumented,6307,15659198.588297322
2024,Legal immigrant,4221,9724095.27
2024,Native-born,122414,281105742.78
2024,Naturalized citizen,10520,24864758.81
2024,Undocumented,7110,17801663.661819085
2025,Legal immigrant,4143,9776418.66
2025,Native-born,120382,284571446.71
2025,Naturalized citizen,10460,25765120.79
2025,Undocumented,7140,18798081.01361309
