year,immig_status,disabled,population,pct
2014,Illegal immigrants,385241.33479449217,10643829.688423244,3.6193864997060192
2014,Legal immigrants,3560076,29811534,11.94194166593373
2014,Native-born citizens,32760079,209967788,15.602430883350547
2015,Illegal immigrants,371567.6602682947,10363557.269885061,3.585329347752189
2015,Legal immigrants,3626158,31050260,11.678349875331156
2015,Native-born citizens,32989446,211606503,15.589996305548324
2016,Illegal immigrants,387812.05315435334,10058742.992250133,3.855472333403362
2016,Legal immigrants,3784900,31780055,11.90967101850516
2016,Native-born citizens,33640377,212893227,15.80152524063154
2017,Illegal immigrants,359088.12845200265,9906069.20996039,3.624930543498984
2017,Legal immigrants,3785027,32611746,11.606330430759519
2017,Native-born citizens,33541775,214748167,15.619120511515238
2018,Illegal immigrants,359557.49236137175,9714092.264119066,3.7014008369003135
2018,Legal immigrants,3758427,33137602,11.341879837895332
2018,Native-born citizens,33400945,216023956,15.46168564749365
2019,Illegal immigrants,360161.26314705925,9608285.293151584,3.748444724094198
2019,Legal immigrants,3855025,33264257,11.589090957299902
2019,Native-born citizens,33851987,217372453,15.573264474316808
2020,Illegal immigrants,378440.22590817726,8348090.060532103,4.5332551896793465
2020,Legal immigrants,4015911,33296693,12.060990561435036
2020,Native-born citizens,34430044,220138503,15.6401735865352
2021,Illegal immigrants,440276.1010014388,8909796.802700035,4.941483074765712
2021,Legal immigrants,4201711,34441769,12.199463389932149
2021,Native-born citizens,34796700,220865769,15.754682202473846
2022,Illegal immigrants,507378.5437790492,9490510.550293742,5.346167006403521
2022,Legal immigrants,4392260,34541540,12.715877751831565
2022,Native-born citizens,35760022,222357328,16.08223228874202
2023,Illegal immigrants,538045.8472221063,10144307.421347836,5.303918985044109
2023,Legal immigrants,4536568,35402906,12.814111926292151
2023,Native-born citizens,35983110,222492708,16.172714298573776
2024,Illegal immigrants,631735.1740880384,11629425.908122925,5.432212897515292
2024,Legal immigrants,4716053,36224530,13.018948762068133
2024,Native-born citizens,36595013,225108491,16.256611573128087
