year,statefip,n,population
2010,1,37,3936
2010,2,13,1909
2010,4,770,91650
2010,5,25,4336
2010,6,8756,965067
2010,8,279,35989
2010,9,216,27478.98127099765
2010,10,42,5105
2010,11,100,13143
2010,12,1511,175046
2010,13,190,24817
2010,15,118,15681
2010,16,49,5244
2010,17,742,109413.00723258834
2010,18,149,20250
2010,19,57,7368
2010,20,47,5626
2010,21,55,7139
2010,22,54,5714
2010,23,59,6855
2010,24,266,32807
2010,25,1097,148876
2010,26,333,45148
2010,27,223,44285
2010,28,5,489
2010,29,62,8717
2010,30,4,265
2010,31,60,8534
2010,32,101,10033
2010,33,36,3913
2010,34,767,98874
2010,35,122,15538
2010,36,4055,530267
2010,37,249,29647
2010,38,2,298
2010,39,174,19355
2010,40,49,5915
2010,41,166,20064
2010,42,309,45355
2010,44,78,10422
2010,45,37,3348
2010,46,11,1955
2010,47,112,13549
2010,48,2125,251922
2010,49,93,10288
2010,50,26,2837
2010,51,190,21889
2010,53,579,75109.84992357012
2010,54,9,1216
2010,55,115,15301
2010,56,3,862
2011,1,27,3475
2011,2,24,3355
2011,4,747,86324
2011,5,24,3531
2011,6,9555,996474
2011,8,373,45236
2011,9,244,26825.814462702
2011,10,45,4616
2011,11,93,11849
2011,12,1767,205825
2011,13,178,24975
2011,15,157,16878
2011,16,46,6894
2011,17,789,125251.9822038869
2011,18,155,22441
2011,19,33,5119
2011,20,60,7879
2011,21,69,11926
2011,22,48,4704
2011,23,34,3786
2011,24,295,32694
2011,25,1178,151913
2011,26,332,46629
2011,27,223,41454
2011,28,10,1315
2011,29,87,11739
2011,30,11,453
2011,31,22,3817
2011,32,138,14030
2011,33,17,1745
2011,34,803,93979
2011,35,139,18442
2011,36,4417,546225
2011,37,210,22736
2011,38,23,4236
2011,39,174,18042
2011,40,40,5438
2011,41,236,29897
2011,42,319,46100
2011,44,93,9637
2011,45,37,4514
2011,46,6,2055
2011,47,105,13700
2011,48,2409,267892
2011,49,47,6812
2011,50,23,1845
2011,51,188,21981
2011,53,496,62671.184262860865
2011,54,3,274
2011,55,125,21197
