year,statefip,n,population
2010,1,858,129867.21621710667
2010,2,180,23781.94381959158
2010,4,4628,573469.4539858887
2010,5,632,100148.79019703154
2010,6,47607,5689407.207877063
2010,8,2390,324260.38741282717
2010,9,2034,258717.81222971747
2010,10,292,38106.03430571257
2010,11,435,51141.50466302607
2010,12,15682,1961149.6943353743
2010,13,4743,645959.5568411666
2010,15,910,108915.69719712982
2010,16,519,62017.87047853039
2010,17,6874,1043004.3406822388
2010,18,1506,203194.70544162582
2010,19,575,90988.57111093446
2010,20,808,131891.5871667128
2010,21,730,99085.39032265173
2010,22,876,110420.23757345641
2010,23,176,20418.106396847794
2010,24,3626,468017.2757911616
2010,25,4092,527261.205923244
2010,26,2299,313475.3666004603
2010,27,1169,227620.69381620912
2010,28,331,45706.020502279396
2010,29,985,142362.08791566457
2010,30,78,8279.26330461249
2010,31,389,69902.59233640398
2010,32,2489,306253.6386555962
2010,33,277,34910.700025145845
2010,34,7297,967020.2815131805
2010,35,981,142662.85566207074
2010,36,15370,2151722.8189881365
2010,37,3818,532164.5185215711
2010,38,55,9782.86474650849
2010,39,1993,251164.42534239072
2010,40,1055,153579.5894027085
2010,41,1758,242526.42306628972
2010,42,2570,386267.3670238838
2010,44,516,69485.41569967763
2010,45,1186,158409.7420984779
2010,46,86,12063.191095980606
2010,47,1461,202490.54688061308
2010,48,22403,2926077.645785958
2010,49,1223,163504.74170877293
2010,50,105,11077.401061693163
2010,51,3778,516596.0778091744
2010,53,3914,504486.62162300537
2010,54,110,13563.17473348443
2010,55,940,157417.45428232156
2010,56,77,10301.830031127944
2011,1,705,112117.34412473779
2011,2,185,21044.50882157934
2011,4,4610,556154.558246496
2011,5,527,91037.15123244839
2011,6,48407,5615786.682646004
2011,8,2422,330235.02722037816
2011,9,1989,252155.47241577192
2011,10,355,44850.05350193699
2011,11,448,55765.3521536261
2011,12,15008,1925132.1272801713
2011,13,3947,601361.426681846
2011,15,1012,116598.2092816328
2011,16,508,68886.31833654447
2011,17,6402,1004765.774300133
2011,18,1437,203943.66406234732
2011,19,554,87768.40107724443
2011,20,906,130553.51940986578
2011,21,674,96563.11074445106
2011,22,777,109808.21590121329
2011,23,157,19056.401119080874
2011,24,3554,455908.9571438075
2011,25,4122,497213.461116635
2011,26,2286,310899.62854611914
