group,coverage_type,population,rate
All immigrants,Direct purchase,4626496.883809637,0.11919095869913748
All immigrants,Employer-sponsored,19546733.128574625,0.5035762304702035
All immigrants,Medicaid,5800099.8136880845,0.14942611541865175
All immigrants,Medicare,249224,0.006420678158195015
All immigrants,Other public,326116.9828550193,0.008401647469078743
All immigrants,Uninsured,8267166.686665466,0.21298436978473345
Native-born,Direct purchase,15389830,0.0916074140014592
Native-born,Employer-sponsored,108506332,0.6458800699750277
Native-born,Medicaid,23022869,0.13704280631978139
Native-born,Medicare,1890334,0.011252145692254845
Native-born,Other public,3358443,0.019991012136021166
Native-born,Uninsured,15829839,0.09422655187545573
