year,immig_status,coverage_type,n,population
2010,Legal immigrant,Direct purchase,3003,301913
2010,Legal immigrant,Employer-sponsored,21911,2362889
2010,Legal immigrant,Medicaid,13686,1711805
2010,Legal immigrant,Medicare,686,79908
2010,Legal immigrant,Other public,632,62263
2010,Legal immigrant,Uninsured,19191,2382319
2010,Native-born,Direct purchase,124947,11725662
2010,Native-born,Employer-sponsored,1023580,100274219
2010,Native-born,Medicaid,137904,15108469
2010,Native-born,Medicare,20006,1970739
2010,Native-born,Other public,35878,3658996
2010,Native-born,Uninsured,264643,29894096
2010,Naturalized citizen,Direct purchase,10479,1048072
2010,Naturalized citizen,Employer-sponsored,76402,7973851
2010,Naturalized citizen,Medicaid,10305,1160593
2010,Naturalized citizen,Medicare,1157,129378
2010,Naturalized citizen,Other public,1927,195463
2010,Naturalized citizen,Uninsured,23307,2744256
2010,Undocumented,Direct purchase,5839,776566.4461880524
2010,Undocumented,Employer-sponsored,31834,4080278.9758496475
2010,Undocumented,Medicaid,59,8802.877814223359
2010,Undocumented,Other public,225,28480.878859115557
2010,Undocumented,Uninsured,50983,7890176.421719979
2011,Legal immigrant,Direct purchase,2764,294155
2011,Legal immigrant,Employer-sponsored,21148,2353401
2011,Legal immigrant,Medicaid,15210,1824035
2011,Legal immigrant,Medicare,666,78162
2011,Legal immigrant,Other public,571,58821
2011,Legal immigrant,Uninsured,19186,2356618
2011,Native-born,Direct purchase,126794,11619748
2011,Native-born,Employer-sponsored,1013165,101006411
2011,Native-born,Medicaid,163385,15818612
2011,Native-born,Medicare,23082,2126795
2011,Native-born,Other public,38249,3766857
2011,Native-born,Uninsured,276225,29467120
2011,Naturalized citizen,Direct purchase,10407,1056770
2011,Naturalized citizen,Employer-sponsored,75393,8203341
2011,Naturalized citizen,Medicaid,11511,1281059
2011,Naturalized citizen,Medicare,1213,131341
2011,Naturalized citizen,Other public,1763,182553
2011,Naturalized citizen,Uninsured,24143,2909712
2011,Undocumented,Direct purchase,6523,787294.3449720151
2011,Undocumented,Employer-sponsored,30597,4088402.8956631483
2011,Undocumented,Medicaid,44,6846.235284607877
2011,Undocumented,Other public,198,21983.93343549725
2011,Undocumented,Uninsured,50365,7678992.736547692
2012,Legal immigrant,Direct purchase,2956,304573
2012,Legal immigrant,Employer-sponsored,21115,2355980
2012,Legal immigrant,Medicaid,15231,1836756
2012,Legal immigrant,Medicare,707,84151
2012,Legal immigrant,Other public,575,58328
2012,Legal immigrant,Uninsured,19174,2364823
2012,Native-born,Direct purchase,124770,11547203
2012,Native-born,Employer-sponsored,1015381,101699538
2012,Native-born,Medicaid,160739,16094460
2012,Native-born,Medicare,23027,2196881
2012,Native-born,Other public,38168,3811994
2012,Native-born,Uninsured,267380,29114957
2012,Naturalized citizen,Direct purchase,10689,1092065
2012,Naturalized citizen,Employer-sponsored,77688,8338839
2012,Naturalized citizen,Medicaid,12338,1367184
2012,Naturalized citizen,Medicare,1291,136239
2012,Naturalized citizen,Other public,1864,194508
2012,Naturalized citizen,Uninsured,24173,2899253
2012,Undocumented,Direct purchase,6471,790392.8695393171
2012,Undocumented,Employer-sponsored,30894,4100852.153074556
2012,Undocumented,Medicaid,63,10839.843485073796
2012,Undocumented,Other public,206,23883.182449246586
2012,Undocumented,Uninsured,49084,7470010.249045872
2013,Legal immigrant,Direct purchase,3030,309631
2013,Legal immigrant,Employer-sponsored,21174,2321694
2013,Legal immigrant,Medicaid,14555,1850037
2013,Legal immigrant,Medicare,712,88934
2013,Legal immigrant,Other public,601,57235
2013,Legal immigrant,Uninsured,18213,2310439
