group,coverage_type,population,rate
All immigrants,Direct purchase,6162386.790147729,0.1136932459032964
All immigrants,Employer-sponsored,23146380.156547368,0.4270402330338686
All immigrants,Medicaid,8815108.464034943,0.16263475961425788
All immigrants,Medicare,5257135.84,0.0969917757774864
All immigrants,Other public,572752.5274125013,0.010567024784123127
All immigrants,Uninsured,10248108.47194033,0.1890729608869675
Native-born,Direct purchase,27290355.66,0.09589983807409515
Native-born,Employer-sponsored,151791376.86,0.5334033987418526
Native-born,Medicaid,44899755.75,0.15778025613285182
Native-born,Medicare,29492770.5,0.10363924715909878
Native-born,Other public,7492852.11,0.0263303019211052
Native-born,Uninsured,23604335.83,0.08294695797099634
