year,immig_status,coverage_type,n,population
2010,Legal immigrant,Employer-sponsored,2330,3155192.56
2010,Legal immigrant,Medicaid,2093,3082379.38
2010,Legal immigrant,Medicare,428,684738.91
2010,Legal immigrant,Other public,61,79499.48
2010,Legal immigrant,Uninsured,2311,3444213.55
2010,Native-born,Employer-sponsored,107285,151057537.04
2010,Native-born,Medicaid,26738,36529039.8
2010,Native-born,Medicare,12465,22266296.94
2010,Native-born,Other public,3526,4468754.81
2010,Native-born,Uninsured,33530,51413682.51
2010,Naturalized citizen,Employer-sponsored,5973,8737812.14
2010,Naturalized citizen,Medicaid,1127,1780600.46
2010,Naturalized citizen,Medicare,1112,1849228.74
2010,Naturalized citizen,Other public,126,200529.59
2010,Naturalized citizen,Uninsured,2579,3893537.63
2010,Undocumented,Employer-sponsored,2993,4490584.43241541
2010,Undocumented,Medicaid,28,43576.642934097545
2010,Undocumented,Other public,20,27102.395209515358
2010,Undocumented,Uninsured,5077,7868637.795635558
2011,Legal immigrant,Employer-sponsored,2413,3399655.91
2011,Legal immigrant,Medicaid,1842,2710381.95
2011,Legal immigrant,Medicare,429,727118.53
2011,Legal immigrant,Other public,61,92316.61
2011,Legal immigrant,Uninsured,2167,3316310.38
2011,Native-born,Employer-sponsored,103661,150252765.62
2011,Native-born,Medicaid,26241,37346963.9
2011,Native-born,Medicare,12748,23470482.18
2011,Native-born,Other public,3532,4739721.36
2011,Native-born,Uninsured,32607,51311496.17
2011,Naturalized citizen,Employer-sponsored,6213,9323197.29
2011,Naturalized citizen,Medicaid,1113,1698163.34
2011,Naturalized citizen,Medicare,1138,1922442.81
2011,Naturalized citizen,Other public,108,135587.61
2011,Naturalized citizen,Uninsured,2766,4268350.68
2011,Undocumented,Employer-sponsored,3033,4670391.162629177
2011,Undocumented,Medicaid,34,52452.25620919552
2011,Undocumented,Other public,16,25802.35503208715
2011,Undocumented,Uninsured,4861,7872112.162112534
2012,Legal immigrant,Employer-sponsored,2465,3458086.73
2012,Legal immigrant,Medicaid,1982,2943154.9
2012,Legal immigrant,Medicare,392,623030.66
2012,Legal immigrant,Other public,47,69956.37
2012,Legal immigrant,Uninsured,2048,3275527.31
2012,Native-born,Employer-sponsored,101297,151068868.7
2012,Native-born,Medicaid,26497,38761710.55
2012,Native-born,Medicare,12839,23997325.01
2012,Native-born,Other public,3373,4616489.24
2012,Native-born,Uninsured,31219,50406807.97
2012,Naturalized citizen,Employer-sponsored,6230,9354246.04
2012,Naturalized citizen,Medicaid,1292,2055937.12
2012,Naturalized citizen,Medicare,1226,2064080.3699999999
2012,Naturalized citizen,Other public,133,190261.95
2012,Naturalized citizen,Uninsured,2646,4269548.98
2012,Undocumented,Employer-sponsored,2896,4438906.042044897
2012,Undocumented,Medicaid,38,59352.474710292925
2012,Undocumented,Other public,13,14616.387120827214
