year,immig_status,mean_ftotinc,median_ftotinc,n
2010,Legal noncitizen,84582.1515605695,58990.58380414312,32509
2010,Native-born,96349.54734426913,70500.94161958569,1058995
2010,Naturalized citizen,108343.54077927918,76543.87947269304,83501
2010,Undocumented,62597.62328324849,43163.8418079096,28772
2011,Legal noncitizen,81641.9773549933,55819.20903954802,32193
2011,Native-born,94689.72801159279,68797.17514124294,1059684
2011,Naturalized citizen,105765.43151084792,73820.90395480226,84821
2011,Undocumented,60463.88948527353,41864.40677966102,28132
2012,Legal noncitizen,83274.52028700791,56603.389830508466,32909
2012,Native-born,95401.66454768792,68361.58192090395,1059229
2012,Naturalized citizen,106909.23628229469,74650.84745762711,87434
2012,Undocumented,61937.00297928839,42384.18079096045,28153
2013,Legal noncitizen,85765.37972651348,56822.97551789077,32225
2013,Native-born,97316.94432810883,68672.31638418078,1061171
2013,Naturalized citizen,109466.64390248066,75135.59322033898,89592
2013,Undocumented,62195.24387140467,43088.51224105461,28276
2014,Legal noncitizen,85502.4785741142,55948.7758945386,32709
2014,Native-born,98088.68085909936,69604.51977401129,1066315
2014,Naturalized citizen,110271.06056533409,75968.3615819209,91479
2014,Undocumented,63069.80731325398,42425.61205273069,27737
2015,Legal noncitizen,88116.50644267922,59576.27118644067,33893
2015,Native-born,102180.41584890865,72688.34651600751,1071194
2015,Naturalized citizen,114347.96860816039,79170.24482109226,94550
2015,Undocumented,68526.78645269363,46337.09981167608,27091
2016,Legal noncitizen,90952.90844202944,60904.70809792843,34032
2016,Native-born,103686.86787149942,73190.20715630885,1075213
2016,Naturalized citizen,116946.85429439665,79594.35028248587,96561
2016,Undocumented,68607.07467728743,47050.84745762712,26346
2017,Legal noncitizen,93368.74947127556,63168.73822975519,34484
2017,Native-born,104826.25410492325,74549.34086629002,1083572
2017,Naturalized citizen,118148.1796826073,81710.16949152543,99068
2017,Undocumented,73774.6409679181,50637.28813559322,26716
2018,Legal noncitizen,94786.70144562364,63677.96610169491,32923
2018,Native-born,106110.35098628746,74915.25423728813,1097271
2018,Naturalized citizen,120464.37633444613,82406.77966101695,101236
2018,Undocumented,74870.9913959828,51192.09039548022,26071
2019,Legal noncitizen,101571.67187853884,69988.70056497175,31758
2019,Native-born,109593.65395317346,77847.08097928436,1117001
2019,Naturalized citizen,125455.79434193805,85951.03578154425,103423
2019,Undocumented,78179.24864745355,53166.85499058381,24534
2020,Legal noncitizen,106776.09983842314,72768.3615819209,25040
2020,Native-born,111696.90636908864,78832.39171374764,883023
2020,Naturalized citizen,126873.21123888314,87322.03389830508,81208
2020,Undocumented,85302.45699820489,58233.388244380854,18166
2021,Legal noncitizen,104714.7911419696,71807.90960451977,34127
2021,Native-born,107363.86340366244,75977.4011299435,1111500
2021,Naturalized citizen,123332.7987059272,85011.29943502824,109919
2021,Undocumented,81001.82542415775,55593.22033898305,25464
2022,Legal noncitizen,104533.55694302547,70055.09968179853,33781
2022,Native-born,105649.98056095133,75009.41619585687,1150255
2022,Naturalized citizen,122591.41726129044,84653.48399246702,113372
2022,Undocumented,79903.41401309166,55721.28060263652,26530
2023,Legal noncitizen,107354.06585772119,73139.35969868173,34413
2023,Native-born,107191.3092914692,76477.6420455132,1164334
2023,Naturalized citizen,124336.81473666485,86119.02071563089,116504
2023,Undocumented,82328.70859100539,56657.2504708098,27794
2024,Legal noncitizen,112930.37871983573,76900,32578
2024,Native-born,109400.74599255846,78300,1168414
2024,Naturalized citizen,128333.0521581317,89500,117564
2024,Undocumented,81229.16082577348,57300,29852
