year,immig_status,n,population
2010,Legal immigrant,77025,8863654
2010,Native-born,2713755,269434087
2010,Naturalized citizen,169013,17456312
2010,Undocumented,101899,14532849.940202441
2011,Legal immigrant,78086,8960746
2011,Native-born,2762865,271212003
2011,Naturalized citizen,172015,18156038
2011,Undocumented,99051,14149336.22626467
2012,Legal immigrant,78609,9078487
2012,Native-born,2758908,273177048
2012,Naturalized citizen,177698,18623243
2012,Undocumented,97815,13886295.716718372
2013,Legal immigrant,76451,8984485
2013,Native-born,2775376,274790312
2013,Naturalized citizen,183254,19324406
2013,Undocumented,97714,13863337.557517372
2014,Legal immigrant,78790,9385818
2014,Native-born,2771940,276622102
2014,Naturalized citizen,186750,19972388
2014,Undocumented,95130,13697736.569867987
2015,Legal immigrant,80514,9744558
2015,Native-born,2780187,278261257
2015,Naturalized citizen,192968,20731910
2015,Undocumented,93336,13506202.419094503
2016,Legal immigrant,80569,9879332
2016,Native-born,2785450,279447294
2016,Naturalized citizen,198151,21266342
2016,Undocumented,92317,13352701.507405235
2017,Legal immigrant,80984,9944218
2017,Native-born,2811996,281313227
2017,Naturalized citizen,203232,21946708
2017,Undocumented,93828,13340748.7928822
2018,Legal immigrant,78082,9724752
2018,Native-born,2836291,282409323
2018,Naturalized citizen,209000,22679525
2018,Undocumented,91166,13168307.411609836
2019,Legal immigrant,73689,9307880
2019,Native-born,2862795,283456851
2019,Naturalized citizen,213640,23094756
2019,Undocumented,89429,13200620.35236889
2020,Legal immigrant,59899,9056526
2020,Native-born,2338433,286021846
2020,Naturalized citizen,171608,23268400
2020,Undocumented,71114,11875586.157676106
2021,Legal immigrant,79532,9501079
2021,Native-born,2852960,286607823
2021,Naturalized citizen,227921,24120553
2021,Undocumented,92186,12393897.72182927
2022,Legal immigrant,77466,9152280
2022,Native-born,2960328,287173114
2022,Naturalized citizen,235809,24495618
2022,Undocumented,99775,13275605.037232462
2023,Legal immigrant,79173,9433925
2023,Native-born,2980526,287116182
2023,Naturalized citizen,240932,24989268
2023,Undocumented,105178,14269348.800361615
2024,Legal immigrant,74135,9152265
2024,Native-born,2992611,289834779
2024,Naturalized citizen,243545,25878513
2024,Undocumented,112597,16289869.572706321
