year,immig_status,mean_inctot,median_inctot,n
2010,Legal noncitizen,37761.72907128003,21581.9209039548,74008
2010,Native-born,51365.90253234257,34531.07344632768,1606957
2010,Naturalized citizen,59194.68268856585,38847.457627118645,123577
2010,Undocumented,27943.38794712413,20143.126177024482,74042
2011,Legal noncitizen,36763.85543087119,20094.915254237287,73845
2011,Native-born,50182.38197838837,33072.8813559322,1640898
2011,Naturalized citizen,57688.485816590284,37677.96610169491,124430
2011,Undocumented,27434.819096870076,19536.723163841805,73429
2012,Legal noncitizen,37644.035094482715,20508.474576271186,74508
2012,Native-born,50242.964551658595,32813.5593220339,1629464
2012,Naturalized citizen,58492.67328912588,38282.48587570621,128043
2012,Undocumented,28264.268242085393,19688.135593220337,71969
2013,Legal noncitizen,39054.449335818055,20197.74011299435,73643
2013,Native-born,50863.81950671095,32316.38418079096,1638002
2013,Naturalized citizen,59223.67136280832,37702.44821092278,131782
2013,Undocumented,29069.419755374427,20197.74011299435,71328
2014,Legal noncitizen,38591.056522676845,20549.90583804143,75347
2014,Native-born,51171.20552377335,33145.009416195855,1625545
2014,Naturalized citizen,59333.7363566925,38448.21092278719,133643
2014,Undocumented,29434.46790212806,19887.005649717514,69142
2015,Legal noncitizen,40096.10726669057,21447.45762711864,78052
2015,Native-born,52948.37274028211,33097.92843691148,1625170
2015,Naturalized citizen,62135.46929011737,39717.51412429378,136988
2015,Undocumented,31943.500652332597,21977.024482109224,67023
2016,Legal noncitizen,41327.25306218641,23264.030131826737,78768
2016,Native-born,53963.39369541717,34242.561205273065,1619699
2016,Naturalized citizen,63341.04974614762,39209.0395480226,139614
2016,Undocumented,32423.58713228285,23525.42372881356,64851
2017,Legal noncitizen,42882.948240860955,24551.41242937853,79959
2017,Native-born,54575.69069496829,35804.14312617702,1631929
2017,Naturalized citizen,64226.48967380294,40919.02071563088,143917
2017,Undocumented,34928.99469474553,24295.66854990584,64593
2018,Legal noncitizen,44141.01053515114,24971.751412429378,76995
2018,Native-born,55427.23239310112,37457.627118644064,1637635
2018,Naturalized citizen,65259.14066979501,41203.38983050847,146652
2018,Undocumented,36160.57781520104,24971.751412429378,62719
2019,Legal noncitizen,47862.5805988809,27627.118644067796,74077
2019,Native-born,56981.02925207695,36836.15819209039,1639743
2019,Naturalized citizen,68755.69605249383,42975.51789077213,148037
2019,Undocumented,37265.76952569774,25785.310734463277,59966
2020,Legal noncitizen,49984.835224211995,29107.34463276836,60321
2020,Native-born,57987.988595912575,37596.9868173258,1343903
2020,Naturalized citizen,68763.05943818523,43539.73634651601,118433
2020,Undocumented,40023.539396064174,26681.732580037664,47417
2021,Legal noncitizen,49454.31122620378,28491.525423728814,78467
2021,Native-born,56899.23736452799,37062.146892655364,1613862
2021,Naturalized citizen,67668.72971917293,42853.107344632765,155478
2021,Undocumented,38617.913128461165,26290.9604519774,62180
2022,Legal noncitizen,49932.6016345388,28825.04708097928,77573
2022,Native-born,56664.910123255846,37504.70809792844,1667953
2022,Naturalized citizen,68318.9172235186,42862.52354048963,160427
2022,Undocumented,37744.452741662724,26789.07721280602,66995
2023,Legal noncitizen,51349.02145576365,30903.954802259886,79155
2023,Native-born,57910.43255634039,40175.141242937854,1665938
2023,Naturalized citizen,69789.45881445163,45325.800376647836,162166
2023,Undocumented,38552.57025425789,25753.29566854991,70038
2024,Legal noncitizen,54047.03984685351,30000,74551
2024,Native-born,58769.5491493211,40000,1664825
2024,Naturalized citizen,71562.4854717763,46700,161649
2024,Undocumented,37490.819648786986,26000,75938
