year,n_immig,n_usborn,D,p,med_immig,med_usborn,mean_immig,mean_usborn
2010,1078,6882,0.07947273385061406,1.5420083445273408e-5,240,202,2168.06586270872,1906.6708805579774
2011,1220,7890,0.05409732178104679,0.004122534405682414,212,204,1974.3909836065575,2004.5449936628643
2012,1566,8805,0.07337567256500467,1.2119490744168636e-6,154.5,190,1796.0102171136655,1699.0492901760363
2013,1700,8853,0.0759852758453433,1.408897887222863e-7,294.5,272,2441.5605882352943,2046.846266802214
2014,1723,8986,0.06566537564915256,7.693716171112591e-6,245,274,2528.268717353453,1979.6868462052082
2015,1889,9232,0.0771450122161231,1.566366110109082e-8,280,270,2930.1667548967707,1984.6113518197574
2016,1930,8983,0.06540898496238431,2.496537885837644e-6,262.5,268,2657.964248704663,2253.6615829900925
2017,1573,7958,0.07379883932923759,1.2244505117426408e-6,268,331,3078.939605848697,2809.278461925107
2018,1175,7167,0.08512668881308835,8.850674952417677e-7,251,396,3322.7208510638297,3190.432119436305
2019,1081,6349,0.10591818563428014,1.9947509799906105e-9,259,419,3186.813135985199,3301.8426523862026
2020,1148,6242,0.06252574724218429,0.0010193453892746902,216,273,3406.212543554007,2965.1669336751042
2021,1152,6545,0.039522589338765804,0.09373931321696817,345,363,4406.102430555556,3915.955080213904
2022,903,4919,0.061246681286678074,0.006534281343318991,339,390,3876.3543743078626,3785.8690790811143
2023,796,4140,0.06097395188502902,0.013965841262247402,369,440.5,3576.636934673367,3677.101690821256
