"year","n_marst2","pop_marst2","n_sploc0","pop_sploc0","n_combo","pop_combo"
2010,45087,5069006,1658834,179933432,45087,5069006
2011,53177,5280477,1734681,182542340,53177,5280477
2012,52232,5249371,1722780,183953675,52232,5249371
2013,55683,5762746,1727875,185719661,55683,5762746
2014,56361,5874993,1726148,187322201,56361,5874993
2015,56299,5910834,1727759,188789872,56299,5910834
2016,57546,6042811,1731609,190167820,57546,6042811
2017,58817,6162981,1746044,190554838,58817,6162981
2018,60430,6280814,1752335,190633355,60430,6280814
2019,60316,6217417,1748449,190772503,60316,6217417
2020,51318,5715152,1446186,186613564,51318,5715152
2021,59402,5844496,1758913,188905947,59402,5844496
2022,63717,5939617,1820194,188535029,63717,5939617
2023,65848,6098071,1833623,189315141,65848,6098071
2024,69699,6522456,1844832,193017216,69699,6522456
