year,statefip,n_before,pop_before,n_after,pop_after,pop_change,pct_change
2010,1,37,3936,37,3936,0,0
2010,2,13,1909,13,1909,0,0
2010,4,770,91650,770,91650,0,0
2010,5,25,4336,25,4336,0,0
2010,6,8756,965067,8756,965067,0,0
2010,8,279,35989,279,35989,0,0
2010,9,216,27371,216,27478.98127099765,107.98127099765043,0.3945097767624509
2010,10,42,5105,42,5105,0,0
2010,11,100,13143,100,13143,0,0
2010,12,1511,175046,1511,175046,0,0
2010,13,190,24817,190,24817,0,0
2010,15,118,15681,118,15681,0,0
2010,16,49,5244,49,5244,0,0
2010,17,742,106788,742,109413.00723258834,2625.0072325883375,2.458148137045677
2010,18,149,20250,149,20250,0,0
2010,19,57,7368,57,7368,0,0
2010,20,47,5626,47,5626,0,0
2010,21,55,7139,55,7139,0,0
2010,22,54,5714,54,5714,0,0
2010,23,59,6855,59,6855,0,0
2010,24,266,32807,266,32807,0,0
2010,25,1097,148876,1097,148876,0,0
2010,26,333,45148,333,45148,0,0
2010,27,223,44285,223,44285,0,0
2010,28,5,489,5,489,0,0
2010,29,62,8717,62,8717,0,0
2010,30,4,265,4,265,0,0
2010,31,60,8534,60,8534,0,0
2010,32,101,10033,101,10033,0,0
2010,33,36,3913,36,3913,0,0
2010,34,767,98874,767,98874,0,0
2010,35,122,15538,122,15538,0,0
2010,36,4055,530267,4055,530267,0,0
2010,37,249,29647,249,29647,0,0
2010,38,2,298,2,298,0,0
2010,39,174,19355,174,19355,0,0
2010,40,49,5915,49,5915,0,0
2010,41,166,20064,166,20064,0,0
2010,42,309,45355,309,45355,0,0
2010,44,78,10422,78,10422,0,0
2010,45,37,3348,37,3348,0,0
2010,46,11,1955,11,1955,0,0
2010,47,112,13549,112,13549,0,0
2010,48,2125,251922,2125,251922,0,0
2010,49,93,10288,93,10288,0,0
2010,50,26,2837,26,2837,0,0
2010,51,190,21889,190,21889,0,0
2010,53,579,73272,579,75109.84992357012,1837.8499235701165,2.5082568014659303
2010,54,9,1216,9,1216,0,0
2010,55,115,15301,115,15301,0,0
2010,56,3,862,3,862,0,0
2011,1,27,3475,27,3475,0,0
2011,2,24,3355,24,3355,0,0
2011,4,747,86324,747,86324,0,0
2011,5,24,3531,24,3531,0,0
2011,6,9555,996474,9555,996474,0,0
2011,8,373,45236,373,45236,0,0
