year,n,meps_total_bn,meps_enroll_mn,meps_per_enr,nhea_total_bn,nhea_enroll_mn,nhea_per_enr,chip_bn,phc,ohrpc,nursing,nondurable,nhea_adj,nhea_mcaid_chip,ratio_unadj,ratio_phc,ratio_adj,enroll_ratio,per_enr_ratio
2010,31228,130.9310846500402,54.964784234096996,2382.0903961416457,397.4,54,7365,11.5,365.8,70.9,46.3,0,248.6,408.9,0.320203190633505,0.3579307945599786,0.5266737113839107,1.0178663747055,0.32343386234102456
2011,33622,143.94078716476528,57.288765535261,2512.548242572452,406.8,56.2,7235,12,373.7,72.6,47.6,0,253.49999999999997,418.8,0.3436981546436611,0.38517738069244123,0.5678137560740248,1.0193730522288433,0.347276882180021
2012,37182,141.77020115125183,58.907661442601004,2406.651319699581,422.8,58.1,7276,12.6,388.3,79.9,47.7,0,260.70000000000005,435.40000000000003,0.32560909772910385,0.36510481882887413,0.543805911588998,1.0139012296488985,0.33076571188834264
2013,35068,174.1532804617363,61.219335880405,2844.7430531091245,445,59.1,7532,13.5,405.7,85.8,48.1,0,271.79999999999995,458.5,0.37983267276278365,0.42926615839718096,0.6407405462168371,1.0358601671811336,0.3776876066262778
2014,33162,172.3034567594168,67.303930791428,2560.080142917326,498.2,66.8,7463,13.2,447,92,49.5,0,305.5,511.4,0.33692502299455773,0.3854663462179347,0.5640047684432629,1.0075438741231737,0.3430363316249935
2015,33893,176.94671311260245,70.03366829555,2526.5949566695163,543,71.5,7596,14.7,484.5,103.6,50.8,0,330.1,557.7,0.31727938517590537,0.3652150941436583,0.5360397246670779,0.9794918642734266,0.3326217689138384
2016,33259,188.78150480288485,71.073724139149,2656.136386399088,564.9,73.5,7690,16.8,503.4,112.9,52,0,338.5,581.6999999999999,0.3245341323755972,0.37501292173795164,0.5577001618992167,0.9669894440700544,0.3454013506370726
2017,30716,231.91796103647772,72.58330647828201,3195.1969714395827,578.8,74,7825,18.1,518.7,121.8,53.3,0,343.6,596.9,0.3885373781814001,0.44711386357524135,0.6749649622714717,0.9808554929497569,0.40833188133413195
2018,29415,241.92597821189673,72.85840179208701,3320.495265628676,596.8,73.4,8131,18.6,532.3,126,54.9,0,351.4,615.4,0.3931198865971673,0.45449178698458903,0.6884632276946407,0.9926212778213488,0.40837477132316763
2019,27648,235.345469693416,72.789007393019,3233.2556538748368,615.4,72.9,8446,19.9,552.8,129,56.6,0,367.19999999999993,635.3,0.37044777222322683,0.42573348352643997,0.6409190351127888,0.998477467668299,0.3828150194026565
2020,26847,225.49363070494508,73.495660501969,3068.1216981362313,672.5,76.2,8823,21.2,591.2,140.6,59.3,0,391.30000000000007,693.7,0.32505929177590465,0.38141683136831034,0.5762679036671225,0.9645099803408005,0.3477413236015223
2021,27332,275.9979441595242,77.063130781965,3581.4525228725283,738.1,84.7,8713,22.5,653.3,149.2,59.8,0,444.3,760.6,0.362868714382756,0.4224673873557695,0.6211972634695571,0.9098362548047816,0.41104700136262234
2022,21747,279.5124519520343,78.251609762551,3571.970631661063,809.9,91.1,8893,23.7,721.8,167.2,66.2,0,488.3999999999999,833.6,0.33530764389639434,0.38724362974790016,0.572302317674108,0.8589638832332712,0.40166092788272384
2023,18463,278.1556942133902,81.353402862807,3419.1033739850714,873.7,92.2,9473,24.6,784.2,183.4,72,0,528.8000000000001,898.3000000000001,0.30964677080417474,0.3546999416136064,0.5260130374685895,0.8823579486204663,0.3609314234123373
