worker_group,status_predetermined,year,status,n,workers,share
Registered nurses,TRUE,2014,Native-born citizens,30585,2943897,0.8518849047021698
Registered nurses,TRUE,2014,Legal immigrants,4822,511848,0.14811509529783012
Registered nurses,TRUE,2014,Illegal immigrants,0,0,0
Registered nurses,TRUE,2015,Native-born citizens,31130,2984094,0.846567820315399
Registered nurses,TRUE,2015,Legal immigrants,4861,540838,0.15343217968460102
Registered nurses,TRUE,2015,Illegal immigrants,0,0,0
Registered nurses,TRUE,2016,Native-born citizens,31831,3089604,0.8515866348259233
Registered nurses,TRUE,2016,Legal immigrants,4965,538452,0.1484133651740767
Registered nurses,TRUE,2016,Illegal immigrants,0,0,0
Registered nurses,TRUE,2017,Native-born citizens,32913,3154685,0.851926816095058
Registered nurses,TRUE,2017,Legal immigrants,5102,548315,0.14807318390494195
Registered nurses,TRUE,2017,Illegal immigrants,0,0,0
Registered nurses,TRUE,2018,Native-born citizens,33870,3232760,0.8502130555922294
Registered nurses,TRUE,2018,Legal immigrants,5210,569534,0.14978694440777068
Registered nurses,TRUE,2018,Illegal immigrants,0,0,0
Registered nurses,TRUE,2019,Native-born citizens,34286,3261391,0.8495130407149536
Registered nurses,TRUE,2019,Legal immigrants,5318,577739,0.15048695928504635
Registered nurses,TRUE,2019,Illegal immigrants,0,0,0
Registered nurses,TRUE,2020,Native-born citizens,26374,3180982,0.8457539243629557
Registered nurses,TRUE,2020,Legal immigrants,4121,580138,0.1542460756370443
Registered nurses,TRUE,2020,Illegal immigrants,0,0,0
Registered nurses,TRUE,2021,Native-born citizens,33437,3362838,0.8448142411944033
Registered nurses,TRUE,2021,Legal immigrants,5699,617727,0.15518575880559668
Registered nurses,TRUE,2021,Illegal immigrants,0,0,0
Registered nurses,TRUE,2022,Native-born citizens,36169,3494645,0.8453144744149684
Registered nurses,TRUE,2022,Legal immigrants,6130,639491,0.15468552558503154
Registered nurses,TRUE,2022,Illegal immigrants,0,0,0
Registered nurses,TRUE,2023,Native-born citizens,37108,3601977,0.8416496812949992
