worker_group,status_predetermined,year,status,n,workers,share
Registered nurses,TRUE,2014,Citizen,34382,3343604,0.9675493996229467
Registered nurses,TRUE,2014,Noncitizen,1025,112141,0.03245060037705328
Registered nurses,TRUE,2015,Citizen,34981,3406921,0.9665210562927171
Registered nurses,TRUE,2015,Noncitizen,1010,118011,0.03347894370728286
Registered nurses,TRUE,2016,Citizen,35774,3508547,0.9670597697499708
Registered nurses,TRUE,2016,Noncitizen,1022,119509,0.032940230250029214
Registered nurses,TRUE,2017,Citizen,36969,3584222,0.9679238455306508
Registered nurses,TRUE,2017,Noncitizen,1046,118778,0.03207615446934917
Registered nurses,TRUE,2018,Citizen,38030,3681042,0.968110829935823
Registered nurses,TRUE,2018,Noncitizen,1050,121252,0.03188917006417705
Registered nurses,TRUE,2019,Citizen,38512,3711339,0.9667135522891905
Registered nurses,TRUE,2019,Noncitizen,1092,127791,0.03328644771080948
Registered nurses,TRUE,2020,Citizen,29666,3635973,0.9667261347683669
Registered nurses,TRUE,2020,Noncitizen,829,125147,0.03327386523163313
Registered nurses,TRUE,2021,Citizen,38025,3854327,0.968286411602373
Registered nurses,TRUE,2021,Noncitizen,1111,126238,0.03171358839762697
Registered nurses,TRUE,2022,Citizen,41009,3997076,0.9668467607258203
Registered nurses,TRUE,2022,Noncitizen,1290,137060,0.03315323927417966
Registered nurses,TRUE,2023,Citizen,42090,4126807,0.9642831690252246
Registered nurses,TRUE,2023,Noncitizen,1339,152856,0.03571683097477535
Registered nurses,TRUE,2024,Citizen,42146,4134608,0.9617243922709571
Registered nurses,TRUE,2024,Noncitizen,1398,164553,0.03827560772904295
Nurse anesthetists,TRUE,2014,Citizen,310,29009,0.9794712496201506
Nurse anesthetists,TRUE,2014,Noncitizen,6,608,0.02052875037984941
Nurse anesthetists,TRUE,2015,Citizen,314,30148,0.9890751615760638
Nurse anesthetists,TRUE,2015,Noncitizen,2,333,0.010924838423936222
Nurse anesthetists,TRUE,2016,Citizen,375,37181,0.9838325571549534
Nurse anesthetists,TRUE,2016,Noncitizen,5,611,0.01616744284504657
Nurse anesthetists,TRUE,2017,Citizen,394,34887,0.9774185414507046
Nurse anesthetists,TRUE,2017,Noncitizen,6,806,0.02258145854929538
Nurse anesthetists,TRUE,2018,Citizen,379,33236,0.9866999168744804
Nurse anesthetists,TRUE,2018,Noncitizen,4,448,0.013300083125519535
Nurse anesthetists,TRUE,2019,Citizen,519,48317,0.9966172314927497
Nurse anesthetists,TRUE,2019,Noncitizen,3,164,0.003382768507250263
Nurse anesthetists,TRUE,2020,Citizen,373,46847,0.9732621431836124
Nurse anesthetists,TRUE,2020,Noncitizen,5,1287,0.026737856816387583
Nurse anesthetists,TRUE,2021,Citizen,529,50470,0.9775892459372034
Nurse anesthetists,TRUE,2021,Noncitizen,11,1157,0.0224107540627966
Nurse anesthetists,TRUE,2022,Citizen,572,51568,0.9926276683798194
Nurse anesthetists,TRUE,2022,Noncitizen,5,383,0.007372331620180555
Nurse anesthetists,TRUE,2023,Citizen,601,56446,0.9863525958026805
Nurse anesthetists,TRUE,2023,Noncitizen,5,781,0.013647404197319447
Nurse anesthetists,TRUE,2024,Citizen,660,56330,0.9887313066067542
Nurse anesthetists,TRUE,2024,Noncitizen,5,642,0.011268693393245805
Nurse practitioners & midwives,TRUE,2014,Citizen,1443,131882,0.9811699761183814
Nurse practitioners & midwives,TRUE,2014,Noncitizen,27,2531,0.018830023881618592
Nurse practitioners & midwives,TRUE,2015,Citizen,1490,140727,0.9844077898094519
Nurse practitioners & midwives,TRUE,2015,Noncitizen,24,2229,0.01559221019054814
Nurse practitioners & midwives,TRUE,2016,Citizen,1848,172382,0.9867484845189098
Nurse practitioners & midwives,TRUE,2016,Noncitizen,27,2315,0.013251515481090116
Nurse practitioners & midwives,TRUE,2017,Citizen,2153,202408,0.9837282995392601
Nurse practitioners & midwives,TRUE,2017,Noncitizen,31,3348,0.016271700460739905
Nurse practitioners & midwives,TRUE,2018,Citizen,2255,212449,0.9806228565362086
Nurse practitioners & midwives,TRUE,2018,Noncitizen,35,4198,0.019377143463791328
Nurse practitioners & midwives,TRUE,2019,Citizen,2557,230086,0.9785563607907183
Nurse practitioners & midwives,TRUE,2019,Noncitizen,43,5042,0.021443639209281752
Nurse practitioners & midwives,TRUE,2020,Citizen,2250,267343,0.9814137720901889
Nurse practitioners & midwives,TRUE,2020,Noncitizen,35,5063,0.01858622790981109
Nurse practitioners & midwives,TRUE,2021,Citizen,3054,307800,0.9760862050922652
Nurse practitioners & midwives,TRUE,2021,Noncitizen,58,7541,0.023913794907734803
Nurse practitioners & midwives,TRUE,2022,Citizen,3359,313563,0.9888676192788867
Nurse practitioners & midwives,TRUE,2022,Noncitizen,43,3530,0.011132380721113364
Nurse practitioners & midwives,TRUE,2023,Citizen,3511,333997,0.9887272242862006
Nurse practitioners & midwives,TRUE,2023,Noncitizen,40,3808,0.011272775713799381
Nurse practitioners & midwives,TRUE,2024,Citizen,3802,362283,0.986150240492581
Nurse practitioners & midwives,TRUE,2024,Noncitizen,47,5088,0.013849759507418931
LPNs/LVNs,TRUE,2014,Citizen,10322,1015110,0.9623920862968321
LPNs/LVNs,TRUE,2014,Noncitizen,329,39668,0.03760791370316787
LPNs/LVNs,TRUE,2015,Citizen,9723,961857,0.9606043718990437
LPNs/LVNs,TRUE,2015,Noncitizen,321,39447,0.039395628100956356
LPNs/LVNs,TRUE,2016,Citizen,9837,991964,0.9598753664979728
LPNs/LVNs,TRUE,2016,Noncitizen,330,41466,0.04012463350202723
LPNs/LVNs,TRUE,2017,Citizen,9677,987417,0.9620777950343844
LPNs/LVNs,TRUE,2017,Noncitizen,316,38921,0.037922204965615616
LPNs/LVNs,TRUE,2018,Citizen,10175,1033112,0.9584648412349404
LPNs/LVNs,TRUE,2018,Noncitizen,352,44770,0.04153515876505963
LPNs/LVNs,TRUE,2019,Citizen,7645,807182,0.9595008392253451
LPNs/LVNs,TRUE,2019,Noncitizen,250,34070,0.040499160774654916
LPNs/LVNs,TRUE,2020,Citizen,5402,675430,0.9608630027271137
