worker_group,status_predetermined,year,status,n,workers,share
Registered nurses,TRUE,2014,Native-born,30584,2944007,0.8519167357545189
Registered nurses,TRUE,2014,Foreign-born,4823,511738,0.14808326424548107
Registered nurses,TRUE,2015,Native-born,31128,2984038,0.846551933484107
Registered nurses,TRUE,2015,Foreign-born,4863,540894,0.15344806651589307
Registered nurses,TRUE,2016,Native-born,31832,3089730,0.8516213641685796
Registered nurses,TRUE,2016,Foreign-born,4964,538326,0.14837863583142047
Registered nurses,TRUE,2017,Native-born,32913,3154835,0.8519673237915204
Registered nurses,TRUE,2017,Foreign-born,5102,548165,0.14803267620847962
Registered nurses,TRUE,2018,Native-born,33872,3233022,0.8502819613633243
Registered nurses,TRUE,2018,Foreign-born,5208,569272,0.14971803863667565
Registered nurses,TRUE,2019,Native-born,34285,3261299,0.8494890769523303
Registered nurses,TRUE,2019,Foreign-born,5319,577831,0.15051092304766966
Registered nurses,TRUE,2020,Native-born,26375,3181017,0.8457632301016719
Registered nurses,TRUE,2020,Foreign-born,4120,580103,0.15423676989832816
Registered nurses,TRUE,2021,Native-born,33438,3362875,0.8448235363572759
Registered nurses,TRUE,2021,Foreign-born,5698,617690,0.15517646364272408
Registered nurses,TRUE,2022,Native-born,36171,3494764,0.8453432591477397
Registered nurses,TRUE,2022,Foreign-born,6128,639372,0.1546567408522603
Registered nurses,TRUE,2023,Native-born,37108,3601983,0.8416510832745475
Registered nurses,TRUE,2023,Foreign-born,6321,677680,0.15834891672545245
Registered nurses,TRUE,2024,Native-born,37042,3588692,0.8347424067161011
Registered nurses,TRUE,2024,Foreign-born,6502,710469,0.16525759328389888
Nurse anesthetists,TRUE,2014,Native-born,285,26574,0.8972549549245366
Nurse anesthetists,TRUE,2014,Foreign-born,31,3043,0.10274504507546342
Nurse anesthetists,TRUE,2015,Native-born,296,28416,0.9322528788425577
Nurse anesthetists,TRUE,2015,Foreign-born,20,2065,0.06774712115744234
Nurse anesthetists,TRUE,2016,Native-born,352,35064,0.9278154106689246
Nurse anesthetists,TRUE,2016,Foreign-born,28,2728,0.07218458933107536
Nurse anesthetists,TRUE,2017,Native-born,368,32276,0.9042669430980864
Nurse anesthetists,TRUE,2017,Foreign-born,32,3417,0.09573305690191354
Nurse anesthetists,TRUE,2018,Native-born,358,31072,0.9224557653485335
Nurse anesthetists,TRUE,2018,Foreign-born,25,2612,0.07754423465146656
Nurse anesthetists,TRUE,2019,Native-born,489,45211,0.9325508962273881
Nurse anesthetists,TRUE,2019,Foreign-born,33,3270,0.06744910377261196
Nurse anesthetists,TRUE,2020,Native-born,355,44483,0.9241492500103876
Nurse anesthetists,TRUE,2020,Foreign-born,23,3651,0.07585074998961233
Nurse anesthetists,TRUE,2021,Native-born,489,46121,0.8933503786778236
Nurse anesthetists,TRUE,2021,Foreign-born,51,5506,0.10664962132217638
Nurse anesthetists,TRUE,2022,Native-born,540,48287,0.9294720024638602
Nurse anesthetists,TRUE,2022,Foreign-born,37,3664,0.07052799753613982
Nurse anesthetists,TRUE,2023,Native-born,558,51073,0.8924633477204816
Nurse anesthetists,TRUE,2023,Foreign-born,48,6154,0.1075366522795184
Nurse anesthetists,TRUE,2024,Native-born,616,51977,0.9123253528048866
Nurse anesthetists,TRUE,2024,Foreign-born,49,4995,0.08767464719511339
Nurse practitioners & midwives,TRUE,2014,Native-born,1343,121277,0.9022713576811767
Nurse practitioners & midwives,TRUE,2014,Foreign-born,127,13136,0.09772864231882333
Nurse practitioners & midwives,TRUE,2015,Native-born,1385,129799,0.9079646884356025
Nurse practitioners & midwives,TRUE,2015,Foreign-born,129,13157,0.09203531156439744
Nurse practitioners & midwives,TRUE,2016,Native-born,1699,157140,0.8995002776235425
Nurse practitioners & midwives,TRUE,2016,Foreign-born,176,17557,0.10049972237645752
Nurse practitioners & midwives,TRUE,2017,Native-born,1984,186194,0.9049262232936099
Nurse practitioners & midwives,TRUE,2017,Foreign-born,200,19562,0.0950737767063901
Nurse practitioners & midwives,TRUE,2018,Native-born,2055,191309,0.8830447686790032
Nurse practitioners & midwives,TRUE,2018,Foreign-born,235,25338,0.11695523132099683
Nurse practitioners & midwives,TRUE,2019,Native-born,2325,207072,0.8806777584974992
Nurse practitioners & midwives,TRUE,2019,Foreign-born,275,28056,0.11932224150250076
Nurse practitioners & midwives,TRUE,2020,Native-born,2072,243921,0.8954318186824078
Nurse practitioners & midwives,TRUE,2020,Foreign-born,213,28485,0.10456818131759213
Nurse practitioners & midwives,TRUE,2021,Native-born,2801,278560,0.883361186778757
Nurse practitioners & midwives,TRUE,2021,Foreign-born,311,36781,0.11663881322124303
Nurse practitioners & midwives,TRUE,2022,Native-born,2990,276539,0.8721069213133056
Nurse practitioners & midwives,TRUE,2022,Foreign-born,412,40554,0.12789307868669444
Nurse practitioners & midwives,TRUE,2023,Native-born,3158,297281,0.8800372996255236
Nurse practitioners & midwives,TRUE,2023,Foreign-born,393,40524,0.1199627003744764
Nurse practitioners & midwives,TRUE,2024,Native-born,3398,317909,0.8653622632162038
Nurse practitioners & midwives,TRUE,2024,Foreign-born,451,49462,0.13463773678379623
LPNs/LVNs,TRUE,2014,Native-born,9403,917515,0.8698655072441784
LPNs/LVNs,TRUE,2014,Foreign-born,1248,137263,0.13013449275582162
LPNs/LVNs,TRUE,2015,Native-born,8876,868850,0.8677184950824125
LPNs/LVNs,TRUE,2015,Foreign-born,1168,132454,0.13228150491758747
LPNs/LVNs,TRUE,2016,Native-born,8948,890211,0.861413932245048
LPNs/LVNs,TRUE,2016,Foreign-born,1219,143219,0.13858606775495197
LPNs/LVNs,TRUE,2017,Native-born,8776,883193,0.8605284029237932
LPNs/LVNs,TRUE,2017,Foreign-born,1217,143145,0.13947159707620688
LPNs/LVNs,TRUE,2018,Native-born,9192,922867,0.8561855564894859
LPNs/LVNs,TRUE,2018,Foreign-born,1335,155015,0.14381444351051414
LPNs/LVNs,TRUE,2019,Native-born,6932,715270,0.8502446353767955
LPNs/LVNs,TRUE,2019,Foreign-born,963,125982,0.14975536462320446
LPNs/LVNs,TRUE,2020,Native-born,4894,602887,0.8576637299574218
LPNs/LVNs,TRUE,2020,Foreign-born,660,100054,0.14233627004257826
LPNs/LVNs,TRUE,2021,Native-born,6077,634400,0.8526732731820547
LPNs/LVNs,TRUE,2021,Foreign-born,904,109613,0.1473267268179454
LPNs/LVNs,TRUE,2022,Native-born,6271,636281,0.8515116355319664
LPNs/LVNs,TRUE,2022,Foreign-born,902,110956,0.14848836446803357
LPNs/LVNs,TRUE,2023,Native-born,5942,566331,0.8475369944687882
LPNs/LVNs,TRUE,2023,Foreign-born,884,101877,0.15246300553121184
LPNs/LVNs,TRUE,2024,Native-born,6074,610982,0.8468641539979819
LPNs/LVNs,TRUE,2024,Foreign-born,911,110482,0.15313584600201813
Nursing/psych/home health aides,FALSE,2014,Native-born,18997,2055896,0.7811603000330865
Nursing/psych/home health aides,FALSE,2014,Foreign-born,4667,575953.0582700137,0.2188396999669135
Nursing/psych/home health aides,FALSE,2015,Native-born,18264,2012859,0.7748072841274972
Nursing/psych/home health aides,FALSE,2015,Foreign-born,4622,585024.4237040769,0.22519271587250275
Nursing/psych/home health aides,FALSE,2016,Native-born,17893,1978232,0.7748646004571533
Nursing/psych/home health aides,FALSE,2016,Foreign-born,4570,574771.4522584795,0.22513539954284661
Nursing/psych/home health aides,FALSE,2017,Native-born,17435,1921675,0.7655332478697248
Nursing/psych/home health aides,FALSE,2017,Foreign-born,4506,588568.6835336809,0.23446675213027535
Nursing/psych/home health aides,FALSE,2018,Native-born,16893,1865286,0.7544448565721978
Nursing/psych/home health aides,FALSE,2018,Foreign-born,4625,607109.4093542134,0.2455551434278021
Nursing/psych/home health aides,FALSE,2019,Native-born,16976,1910792,0.74949655570579
Nursing/psych/home health aides,FALSE,2019,Foreign-born,4726,638641.9973325626,0.25050344429420995
Nursing/psych/home health aides,FALSE,2020,Native-born,13933,1873809,0.7511316149441065
