year,nh_occ_group,n,workers,share
2014,Nursing/psych/home health aides,7553,809122.7764375965,0.34338100391646365
2014,Registered nurses,2973,289457,0.12284172210336186
2014,LPNs/LVNs,2779,272965,0.11584273544583192
2014,Personal care aides,760,83368.43454609619,0.035380460892995715
2014,Other healthcare practitioners,965,99631.0294903385,0.04228209107924152
2014,Other healthcare support,837,84848.66430787231,0.036008650824644384
2014,Food preparation & serving,1533,159178.71199394995,0.06755333988651811
2014,Building cleaning & maintenance,1473,151767.2972985787,0.06440803352183677
2014,Office & administrative support,1087,102677.420444204,0.043574939104934256
2014,Management,1106,102000.7711221185,0.04328777808279606
2014,All other occupations,2190,201324.00586242188,0.08543924514137582
2015,Nursing/psych/home health aides,7213,801784.6433749235,0.33941076658428115
2015,Registered nurses,3027,308606,0.1306388191617298
2015,LPNs/LVNs,2753,269331,0.11401296087453859
2015,Personal care aides,799,95759.14590324984,0.04053667700801785
2015,Other healthcare practitioners,1020,103564.32526317799,0.04384075863613435
2015,Other healthcare support,779,78577.78412421972,0.03326347812529045
2015,Food preparation & serving,1476,153921.24464206697,0.06515780524015528
2015,Building cleaning & maintenance,1460,141923.30712395455,0.060078848934242826
2015,Office & administrative support,1084,103271.17484420947,0.04371666245987461
2015,Management,1144,107885.73314390972,0.04567009320077336
2015,All other occupations,2123,197659.70063893765,0.08367312977496169
2016,Nursing/psych/home health aides,6720,745915.6541720985,0.331761602438481
2016,Registered nurses,2833,272609,0.12124855963712645
2016,LPNs/LVNs,2594,263816,0.11733768881155117
2016,Personal care aides,733,82490.29086262827,0.03668928374023342
2016,Other healthcare practitioners,970,96565.11345895835,0.0429493557369507
2016,Other healthcare support,797,82163.58789621368,0.03654397575661238
2016,Food preparation & serving,1502,155569.1013500568,0.06919261456054837
2016,Building cleaning & maintenance,1308,137240.0991691619,0.06104040713519097
2016,Office & administrative support,1146,110499.19134138661,0.04914682857576368
2016,Management,1060,100011.0837305212,0.044482023154311656
2016,All other occupations,2177,201469.23626641405,0.08960766045323017
2017,Nursing/psych/home health aides,6364,714603.906243712,0.3242068972383419
2017,Registered nurses,2762,264522,0.12001033876525259
2017,LPNs/LVNs,2503,256697,0.11646023366685586
2017,Personal care aides,792,91070.18442908884,0.0413174090803373
2017,Other healthcare practitioners,1002,101126.87810345234,0.04588000581980977
2017,Other healthcare support,776,80816.71146961153,0.03666553602861673
2017,Food preparation & serving,1454,150391.5052824203,0.06823075394999105
2017,Building cleaning & maintenance,1292,135062.05304673716,0.0612759722838533
2017,Office & administrative support,1107,107930.39136913455,0.04896667510179165
2017,Management,1130,104946.51578315442,0.047612927890191704
2017,All other occupations,2092,196992.9518241248,0.08937325017495823
2018,Nursing/psych/home health aides,6047,677487.5284989495,0.30829470491453426
2018,Registered nurses,2853,273966,0.12466984789188819
2018,LPNs/LVNs,2476,250415,0.11395282611655161
2018,Personal care aides,925,105514.99165100284,0.048015220718791295
2018,Other healthcare practitioners,1220,128844.85411264017,0.05863161255000757
2018,Other healthcare support,643,64799.42409132056,0.029487361004456352
2018,Food preparation & serving,1429,149141.4128892062,0.06786768160749374
2018,Building cleaning & maintenance,1302,135353.5007448473,0.061593410676852915
2018,Office & administrative support,1119,101262.12211568495,0.04607992729525653
2018,Management,1157,114797.49274221867,0.05223927771527321
2018,All other occupations,2049,195949.83215362742,0.08916812950889436
2019,Nursing/psych/home health aides,5782,651109.3819200181,0.31123086843395376
2019,Registered nurses,2849,268096,0.1281501284125544
2019,LPNs/LVNs,2059,212635,0.10163972067842679
2019,Personal care aides,885,106650.97947995251,0.05097926382967527
2019,Other healthcare practitioners,1173,117728.50698308005,0.056274331909838333
2019,Other healthcare support,676,69213.87979818512,0.033084296610425105
2019,Food preparation & serving,1266,135487.51045284205,0.06476315149360311
2019,Building cleaning & maintenance,1242,128787.03704455851,0.06156031919585737
2019,Office & administrative support,1009,95169.18438875458,0.04549095547989142
2019,Management,1185,117891.38506461965,0.056352187778873644
2019,All other occupations,2032,189277.41933925464,0.09047477617690079
2020,Nursing/psych/home health aides,4719,627845.3830288185,0.30716058291850784
2020,Registered nurses,2336,278062,0.13603617756247124
2020,LPNs/LVNs,1444,174763,0.08549924297225138
2020,Personal care aides,768,102682.21920397603,0.05023518713143356
2020,Other healthcare practitioners,980,122632.93882060365,0.059995670895006556
2020,Other healthcare support,491,59844.13655346695,0.029277526545375517
2020,Food preparation & serving,1145,145161.5893343746,0.07101735491344204
2020,Building cleaning & maintenance,1049,131041.87271470063,0.0641095707602469
2020,Office & administrative support,857,91045.60117694562,0.04454220845706683
2020,Management,942,107433.7946784339,0.052559798782593495
2020,All other occupations,1732,203517.25849187392,0.09956667906160468
2021,Nursing/psych/home health aides,5187,570541.5617100893,0.29737305670830333
2021,Registered nurses,2695,264294,0.13775318035393264
2021,LPNs/LVNs,1687,173068,0.0902051027170288
2021,Personal care aides,888,107621.42400469238,0.0560935678860112
2021,Other healthcare practitioners,1134,117617.73610525149,0.06130376480180391
2021,Other healthcare support,558,57964.713917445006,0.03021189921236922
2021,Food preparation & serving,1226,125287.0545185467,0.06530110489495167
2021,Building cleaning & maintenance,1125,116385.54583666242,0.06066153255930385
2021,Office & administrative support,1028,97928.6866643404,0.051041597750598355
2021,Management,1105,112515.81904420214,0.05864458486937436
2021,All other occupations,1886,175380.88945591383,0.09141060824632273
2022,Nursing/psych/home health aides,4797,514683.40778102924,0.28581475741996887
2022,Registered nurses,2820,261299,0.14510495028597112
2022,LPNs/LVNs,1697,173156,0.0961572481016675
2022,Personal care aides,801,94705.04759413705,0.05259174823852286
2022,Other healthcare practitioners,1198,118489.95301053091,0.06580001737848266
2022,Other healthcare support,529,52168.89575380157,0.02897050897565389
2022,Food preparation & serving,1148,113874.33640471025,0.06323686628289213
2022,Building cleaning & maintenance,1036,96680.24004653808,0.053688615056271406
2022,Office & administrative support,944,84619.83782895713,0.04699121451432176
2022,Management,1141,111742.75522128225,0.06205315344184861
2022,All other occupations,1907,179339.21505319688,0.09959092030439924
2023,Nursing/psych/home health aides,4665,511429.0673916239,0.2857164475827035
2023,Registered nurses,2777,265030,0.1480624292417449
2023,LPNs/LVNs,1593,149204,0.08335473981279592
2023,Personal care aides,880,101005.03875979061,0.056427768193907095
2023,Other healthcare practitioners,1144,111687.86551764302,0.06239586720509957
2023,Other healthcare support,484,52365.70307388132,0.02925477570867742
2023,Food preparation & serving,1227,125558.25412201438,0.07014473877167784
2023,Building cleaning & maintenance,1132,114697.70497125264,0.06407735285249452
2023,Office & administrative support,947,88647.40000847566,0.04952401385209064
2023,Management,1137,109255.4290805131,0.06103695520322208
2023,All other occupations,1825,161107.72892919875,0.09000491157558657
2024,Nursing/psych/home health aides,4922,550921.2085216938,0.29714286385308736
2024,Registered nurses,2769,267435,0.14424277113561373
2024,LPNs/LVNs,1651,171922,0.0927272260518518
2024,Personal care aides,826,94083.04794393617,0.05074429133179337
2024,Other healthcare practitioners,1318,127146.22437080015,0.06857712619019471
2024,Other healthcare support,361,33618.44232856834,0.01813232106020346
2024,Food preparation & serving,1310,128795.27252832697,0.06946655082039549
2024,Building cleaning & maintenance,1075,106585.73074853266,0.0574876929597201
2024,Office & administrative support,982,91449.92854409556,0.049324101607322174
2024,Management,1146,113294.16329090756,0.06110592879230927
2024,All other occupations,1828,168810.69930178774,0.09104912619750848
