year,nh_occ_group,status,n,workers,group_total,share
2014,Nursing/psych/home health aides,Native-born citizens,6325,661208,809122.7764375965,0.8171911843974591
2014,Nursing/psych/home health aides,Legal immigrants,1030,120196,809122.7764375965,0.1485510030124212
2014,Nursing/psych/home health aides,Illegal immigrants,198,27718.776437596578,809122.7764375965,0.03425781259011979
2014,Registered nurses,Native-born citizens,2480,234256,289457,0.8092946448004367
2014,Registered nurses,Legal immigrants,493,55201,289457,0.19070535519956333
2014,Registered nurses,Illegal immigrants,0,0,289457,0
2014,LPNs/LVNs,Native-born citizens,2415,232212,272965,0.8507024710127672
2014,LPNs/LVNs,Legal immigrants,364,40753,272965,0.1492975289872328
2014,LPNs/LVNs,Illegal immigrants,0,0,272965,0
2014,Personal care aides,Native-born citizens,592,62768,83368.43454609619,0.7528988680397283
2014,Personal care aides,Legal immigrants,115,14230,83368.43454609619,0.17068810368667686
2014,Personal care aides,Illegal immigrants,53,6370.434546096196,83368.43454609619,0.07641302827359492
2014,Other healthcare practitioners,Native-born citizens,828,84213,99631.0294903385,0.8452487185045737
2014,Other healthcare practitioners,Legal immigrants,132,15170,99631.0294903385,0.1522618011436997
2014,Other healthcare practitioners,Illegal immigrants,5,248.0294903384871,99631.0294903385,0.00248948035172656
2014,Other healthcare support,Native-born citizens,754,74929,84848.66430787231,0.8830899179287144
2014,Other healthcare support,Legal immigrants,73,8739,84848.66430787231,0.10299513930225994
2014,Other healthcare support,Illegal immigrants,10,1180.6643078723127,84848.66430787231,0.013914942769025652
2014,Food preparation & serving,Native-born citizens,1366,137544,159178.71199394995,0.8640853935620975
2014,Food preparation & serving,Legal immigrants,128,15751,159178.71199394995,0.09895167389342026
2014,Food preparation & serving,Illegal immigrants,39,5883.711993949944,159178.71199394995,0.036962932544482276
2014,Building cleaning & maintenance,Native-born citizens,1251,123732,151767.2972985787,0.8152744510998072
2014,Building cleaning & maintenance,Legal immigrants,176,21209,151767.2972985787,0.13974683859774198
2014,Building cleaning & maintenance,Illegal immigrants,46,6826.297298578679,151767.2972985787,0.044978710302450695
2014,Office & administrative support,Native-born citizens,986,92463,102677.420444204,0.9005193118407699
2014,Office & administrative support,Legal immigrants,90,9314,102677.420444204,0.0907112777055139
2014,Office & administrative support,Illegal immigrants,11,900.4204442040094,102677.420444204,0.008769410453716134
2014,Management,Native-born citizens,1030,94607,102000.7711221185,0.9275125958286488
2014,Management,Legal immigrants,69,6406,102000.7711221185,0.06280344677326544
2014,Management,Illegal immigrants,7,987.7711221184999,102000.7711221185,0.009683957398085839
2014,All other occupations,Native-born citizens,1995,179916,201324.00586242188,0.8936639186632745
2014,All other occupations,Legal immigrants,168,17662,201324.00586242188,0.08772922992635872
2014,All other occupations,Illegal immigrants,27,3746.00586242189,201324.00586242188,0.01860685141036676
2015,Nursing/psych/home health aides,Native-born citizens,6030,654191,801784.6433749235,0.8159185953554026
2015,Nursing/psych/home health aides,Legal immigrants,1027,124618,801784.6433749235,0.15542577552427284
2015,Nursing/psych/home health aides,Illegal immigrants,156,22975.643374923544,801784.6433749235,0.028655629120324613
2015,Registered nurses,Native-born citizens,2500,244437,308606,0.7920682034697965
2015,Registered nurses,Legal immigrants,527,64169,308606,0.20793179653020355
2015,Registered nurses,Illegal immigrants,0,0,308606,0
2015,LPNs/LVNs,Native-born citizens,2368,223612,269331,0.8302497670153083
2015,LPNs/LVNs,Legal immigrants,385,45719,269331,0.1697502329846917
2015,LPNs/LVNs,Illegal immigrants,0,0,269331,0
2015,Personal care aides,Native-born citizens,611,71314,95759.14590324984,0.7447225988424336
2015,Personal care aides,Legal immigrants,146,18849,95759.14590324984,0.19683759522086872
2015,Personal care aides,Illegal immigrants,42,5596.145903249832,95759.14590324984,0.058439805936697606
2015,Other healthcare practitioners,Native-born citizens,855,86286,103564.32526317799,0.8331633482932442
2015,Other healthcare practitioners,Legal immigrants,161,16961,103564.32526317799,0.16377261143640587
2015,Other healthcare practitioners,Illegal immigrants,4,317.32526317798863,103564.32526317799,0.003064040270349859
2015,Other healthcare support,Native-born citizens,709,70265,78577.78412421972,0.8942094866014744
2015,Other healthcare support,Legal immigrants,62,7087,78577.78412421972,0.09019088638076779
2015,Other healthcare support,Illegal immigrants,8,1225.784124219716,78577.78412421972,0.015599627017757776
2015,Food preparation & serving,Native-born citizens,1303,130472,153921.24464206697,0.8476542682811814
2015,Food preparation & serving,Legal immigrants,135,16669,153921.24464206697,0.1082956419613328
2015,Food preparation & serving,Illegal immigrants,38,6780.244642066965,153921.24464206697,0.0440500897574857
2015,Building cleaning & maintenance,Native-born citizens,1244,114354,141923.30712395455,0.8057450345356189
2015,Building cleaning & maintenance,Legal immigrants,163,20491,141923.30712395455,0.14438079562297224
2015,Building cleaning & maintenance,Illegal immigrants,53,7078.307123954565,141923.30712395455,0.04987416984140903
2015,Office & administrative support,Native-born citizens,1001,94226,103271.17484420947,0.9124133635755124
