year,immig_status,n,population
2010,Legal immigrant,77334,8911656
2010,Native-born,2713755,269434087
2010,Naturalized citizen,169013,17456312
2010,Undocumented,101590,14481054.975758778
2011,Legal immigrant,78421,9010525
2011,Native-born,2762865,271212003
2011,Naturalized citizen,172015,18156038
2011,Undocumented,98716,14095698.010304919
2012,Legal immigrant,78871,9112125
2012,Native-born,2758908,273177048
2012,Naturalized citizen,177698,18623243
2012,Undocumented,97553,13850194.13529613
2013,Legal immigrant,76626,9004453
2013,Native-born,2775376,274790312
2013,Naturalized citizen,183254,19324406
2013,Undocumented,97539,13841597.518292418
2014,Legal immigrant,79214,9436890
2014,Native-born,2771940,276622102
2014,Naturalized citizen,186750,19972388
2014,Undocumented,94706,13642059.742692603
2015,Legal immigrant,81020,9806385
2015,Native-born,2780187,278261257
2015,Naturalized citizen,192968,20731910
2015,Undocumented,92830,13438961.94817789
2016,Legal immigrant,80920,9937635
2016,Native-born,2785450,279447294
2016,Naturalized citizen,198151,21266342
2016,Undocumented,91966,13289005.264806908
2017,Legal immigrant,81318,9995650
2017,Native-born,2811996,281313227
2017,Naturalized citizen,203232,21946708
2017,Undocumented,93494,13284223.588127375
2018,Legal immigrant,78502,9787943
2018,Native-born,2836291,282409323
2018,Naturalized citizen,209000,22679525
2018,Undocumented,90746,13098986.43798175
2019,Legal immigrant,74075,9364184
2019,Native-born,2862794,283456625
2019,Naturalized citizen,213640,23094756
2019,Undocumented,89044,13139139.469617011
2020,Legal immigrant,60281,9113545
2020,Native-born,2338432,286021754
2020,Naturalized citizen,171608,23268400
2020,Undocumented,70733,11813210.03197828
2021,Legal immigrant,79994,9569608
2021,Native-born,2852958,286607574
2021,Naturalized citizen,227921,24120553
2021,Undocumented,91726,12318928.657826036
2022,Legal immigrant,77933,9223622
2022,Native-born,2960327,287173036
2022,Naturalized citizen,235809,24495618
2022,Undocumented,99309,13197140.770617241
2023,Legal immigrant,79960,9556707
2023,Native-born,2980526,287116182
2023,Naturalized citizen,240932,24989268
2023,Undocumented,104391,14134749.285143865
2024,Legal immigrant,81106,10097922
2024,Native-born,2992608,289834260
2024,Naturalized citizen,243545,25878513
2024,Undocumented,105629,15289060.857708503
